2018.02.25
2017-02-25 00:00:00
2018-02-25T10:00:00.000Z     2018-02-25T10:01:00.000Z
quert done
Reshape and sort done...
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read exe: 0 1311205 3359271 24435 1333 0 0 0 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read exe: 0 1311205 3359271 24435 1333 0 0 0 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read exe: 0 1311205 3359271 24435 1333 0 0 0 2018-02-25T10:00:02.277Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read exe: 0 1311205 3359271 24435 1333 0 0 0 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read exe: 0 1311205 3359271 24435 1333 0 0 0 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read exe: 0 1311205 3359271 24435 1333 0 0 0 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read exe: 0 1311205 3359271 24435 1333 0 0 0 2018-02-25T10:00:02.477Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read exe: 0 1311205 3359271 24435 1333 0 0 0 2018-02-25T10:00:02.677Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read exe: 0 1311205 3359271 24435 1333 0 0 0 2018-02-25T10:00:02.878Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.376Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.477Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.677Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Read wait: 1041192 2697712 396473 257691 287824 8860 4436 2036 2018-02-25T10:00:02.877Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4200128 13873 1958 37 79 0 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4201127 13873 1958 37 79 0 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4202128 13873 1958 37 79 0 2018-02-25T10:00:02.276Z
